"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20, 2016","144.22","144.47","144.60","143.89","-","-0.19%"
"Dec 19, 2016","144.50","145.75","145.76","144.40","-","-0.86%"
"Dec 16, 2016","145.75","146.26","146.68","145.70","-","-0.39%"
"Dec 15, 2016","146.32","148.62","148.62","146.27","-","-1.58%"
"Dec 14, 2016","148.67","149.04","149.61","148.47","-","-0.23%"
"Dec 13, 2016","149.02","148.55","149.27","148.11","-","0.39%"
"Dec 12, 2016","148.44","150.29","150.75","148.42","-","-1.29%"
"Dec 09, 2016","150.38","150.92","150.92","149.87","-","-0.37%"
"Dec 08, 2016","150.94","149.81","151.16","149.81","-","0.84%"
"Dec 07, 2016","149.68","149.07","149.91","149.07","-","0.38%"
"Dec 06, 2016","149.11","148.39","149.76","148.39","-","0.49%"
"Dec 05, 2016","148.38","148.85","148.91","147.74","-","-0.31%"
"Dec 02, 2016","148.84","150.70","150.70","148.77","-","-1.23%"
"Dec 01, 2016","150.69","150.90","151.87","150.54","-","-0.17%"
"Nov 30, 2016","150.94","150.76","151.56","150.76","-","0.10%"
"Nov 29, 2016","150.79","151.08","151.34","150.44","-","-0.19%"
"Nov 28, 2016","151.07","150.14","151.55","150.10","-","0.76%"
"Nov 25, 2016","149.93","149.35","150.17","149.26","-","0.37%"
"Nov 24, 2016","149.37","149.80","149.80","148.76","-","-0.29%"
"Nov 23, 2016","149.81","149.79","150.42","149.50","-","0.11%"
"Nov 22, 2016","149.65","148.23","150.01","148.23","-","1.07%"
"Nov 21, 2016","148.06","147.64","148.42","147.20","-","0.26%"
"Nov 18, 2016","147.68","147.69","147.99","146.84","-","0.03%"
"Nov 17, 2016","147.64","147.22","147.74","146.71","-","0.26%"
"Nov 16, 2016","147.25","146.86","148.08","146.81","-","0.31%"
"Nov 15, 2016","146.79","146.17","147.15","146.04","-","0.44%"
"Nov 14, 2016","146.14","148.22","148.24","145.93","-","-1.36%"
"Nov 11, 2016","148.15","151.03","151.03","147.68","-","-1.99%"
"Nov 10, 2016","151.16","149.37","152.33","149.37","-","1.14%"
"Nov 09, 2016","149.45","153.11","153.79","147.94","-","-2.31%"
"Nov 08, 2016","152.98","152.20","153.15","152.20","-","0.53%"
"Nov 07, 2016","152.17","150.79","152.37","150.79","-","0.89%"
"Nov 04, 2016","150.83","150.99","151.37","150.64","-","-0.09%"
"Nov 03, 2016","150.97","151.94","151.99","150.85","-","-0.55%"
"Nov 02, 2016","151.80","154.13","154.13","151.74","-","-1.52%"
"Nov 01, 2016","154.14","153.46","154.89","153.27","-","0.44%"
"Oct 31, 2016","153.47","153.85","154.24","152.74","-","-0.25%"
"Oct 28, 2016","153.86","154.53","154.61","153.41","-","-0.47%"
"Oct 27, 2016","154.58","155.80","155.86","154.12","-","-0.84%"
"Oct 26, 2016","155.89","157.35","157.35","155.79","-","-0.87%"
"Oct 25, 2016","157.26","157.05","157.53","156.75","-","0.12%"
"Oct 24, 2016","157.07","155.69","157.11","155.15","-","0.84%"
"Oct 21, 2016","155.76","155.92","155.95","155.35","-","-0.11%"
"Oct 20, 2016","155.93","155.61","156.54","155.55","-","0.20%"
"Oct 19, 2016","155.62","155.53","156.14","155.21","-","0.19%"
"Oct 18, 2016","155.33","153.38","155.71","153.31","-","1.29%"
"Oct 17, 2016","153.35","154.05","154.05","152.66","-","-0.49%"
"Oct 14, 2016","154.11","153.53","154.41","153.35","-","0.40%"
"Oct 13, 2016","153.50","155.40","155.57","153.04","-","-1.29%"
"Oct 12, 2016","155.50","156.00","156.00","154.91","-","-0.34%"
"Oct 11, 2016","156.03","157.91","158.89","155.90","-","-1.20%"
"Oct 10, 2016","157.93","157.56","158.06","157.50","-","0.24%"
"Oct 07, 2016","157.55","158.24","158.28","157.42","-","-0.45%"
"Oct 06, 2016","158.27","157.63","158.47","157.60","-","0.39%"
"Oct 05, 2016","157.66","157.18","157.66","156.54","-","0.20%"
"Oct 04, 2016","157.35","156.52","157.42","156.39","-","0.51%"
"Oct 03, 2016","156.55","154.99","156.99","154.99","-","1.04%"
"Sep 30, 2016","154.94","157.20","157.20","154.78","-","-1.50%"
"Sep 29, 2016","157.30","156.88","158.06","156.88","-","0.30%"
"Sep 28, 2016","156.83","156.75","156.90","156.11","-","0.13%"
"Sep 27, 2016","156.63","155.37","156.72","155.21","-","0.79%"
"Sep 26, 2016","155.40","157.90","157.90","155.28","-","-1.64%"
"Sep 23, 2016","157.99","158.09","158.57","157.81","-","-0.06%"
"Sep 22, 2016","158.09","157.18","158.78","157.17","-","0.74%"
"Sep 21, 2016","156.93","155.54","157.30","155.04","-","0.94%"
"Sep 20, 2016","155.47","155.54","155.81","155.04","-","-0.06%"
"Sep 19, 2016","155.56","153.11","155.95","153.11","-","1.62%"
"Sep 16, 2016","153.08","153.11","153.31","152.96","-","-0.03%"
"Sep 15, 2016","153.12","152.31","153.20","152.21","-","0.56%"
"Sep 14, 2016","152.26","152.24","153.04","151.94","-","-0.06%"
"Sep 13, 2016","152.35","152.77","154.44","152.00","-","-0.24%"
"Sep 12, 2016","152.71","156.15","156.17","152.15","-","-2.78%"
"Sep 09, 2016","157.07","157.61","158.80","156.78","-","-0.42%"
"Sep 08, 2016","157.74","157.14","157.89","156.64","-","0.38%"
"Sep 07, 2016","157.14","157.06","157.63","157.05","-","0.22%"
"Sep 06, 2016","156.79","154.74","157.10","154.70","-","1.38%"
"Sep 05, 2016","154.66","152.35","154.89","152.35","-","1.62%"
"Sep 02, 2016","152.19","151.42","152.40","151.42","-","0.53%"
"Sep 01, 2016","151.39","151.14","151.43","150.09","-","0.17%"
"Aug 31, 2016","151.13","151.80","151.96","150.95","-","-0.49%"
"Aug 30, 2016","151.88","151.01","151.98","150.92","-","0.68%"
"Aug 29, 2016","150.85","151.37","151.37","150.26","-","-0.40%"
"Aug 26, 2016","151.45","150.79","151.62","150.68","-","0.42%"
"Aug 25, 2016","150.81","150.47","151.00","150.27","-","0.27%"
"Aug 24, 2016","150.41","151.38","151.52","150.16","-","-0.72%"
"Aug 23, 2016","151.50","151.37","151.53","150.94","-","0.15%"
"Aug 22, 2016","151.28","151.63","151.64","150.40","-","-0.34%"
"Aug 19, 2016","151.79","152.66","153.42","151.52","-","-0.59%"
"Aug 18, 2016","152.69","151.90","153.39","151.84","-","0.53%"
"Aug 17, 2016","151.89","152.51","152.95","151.63","-","-0.48%"
